site,contentType,slug,pageUrl,httpStatus,fileCount,fileUrls
Adult Redeploy Illinois,meeting,otac-committee-meeting-06182019,https://icjia.illinois.gov/adultredeploy/about/meetings/outreach/otac-committee-meeting-06182019,404,2,https://ari.icjia-api.cloud/uploads/ARI-OTACCAgenda-061819-20200730T16031939.pdf; https://ari.icjia-api.cloud/uploads/ARI-OTACCMinutes-061819-Approved-20200730T16034733.pdf
Illinois Family Violence Coordinating Council,post,2024-national-crime-victims-rights-week-ncvrw-resource-guide,https://icjia.illinois.gov/ifvcc/news/2024-national-crime-victims-rights-week-ncvrw-resource-guide/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/NCVRW_Color_Guide_655eefcf66.pdf
Illinois Family Violence Coordinating Council,post,3rd-annual-prevent-child-abuse-illinois-conference,https://icjia.illinois.gov/ifvcc/news/3rd-annual-prevent-child-abuse-illinois-conference/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Third_Annual_AC_Es_and_Resilience_Conference_Flyer_Final_PDF_692506df2c.pdf
Illinois Family Violence Coordinating Council,post,activating-aps-awareness,https://icjia.illinois.gov/ifvcc/news/activating-aps-awareness/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Activating_APS_Awareness_CLIENT_09_19_2024_002_ab83365a9c.pdf
Illinois Family Violence Coordinating Council,post,adult-protective-services-learn-to-protect-yourself-and-others-september-13-14-2023,https://icjia.illinois.gov/ifvcc/news/adult-protective-services-learn-to-protect-yourself-and-others-september-13-14-2023/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/APS_Training_Events_Sept_2023_updated_a0c21274d6.pdf
Illinois Family Violence Coordinating Council,post,april-2024-virtual-lunch-and-learn-register-today,https://icjia.illinois.gov/ifvcc/news/april-2024-virtual-lunch-and-learn-register-today/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/April_Lunch_and_Learn_Flyer_c8042097ea.pdf
Illinois Family Violence Coordinating Council,post,combatting-familial-trafficking-workshop-kankakee,https://icjia.illinois.gov/ifvcc/news/combatting-familial-trafficking-workshop-kankakee/,404,2,https://ilfamilyviolence.icjia-api.cloud/uploads/Press_Release_Combatting_Familial_Trafficking_1e03695bf2.pdf; https://ilfamilyviolence.icjia-api.cloud/uploads/Combatting_Familial_Trafficking_2024_Flyer_d5c3e73477.pdf
Illinois Family Violence Coordinating Council,post,domestic-violence-in-winnebago-county-podcast,https://icjia.illinois.gov/ifvcc/news/domestic-violence-in-winnebago-county-podcast/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/17th_Circuit_Season_2_Podcast_Press_Release_PDF_802905f78f.pdf
Illinois Family Violence Coordinating Council,post,film-screening-the-last-drop-in-romeoville-il,https://icjia.illinois.gov/ifvcc/news/film-screening-the-last-drop-in-romeoville-il/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/The_Last_Drop_Flyer_PDF_82d6cde35f.pdf
Illinois Family Violence Coordinating Council,post,free-interactive-webinar-talking-to-teens-about-digital-safety,https://icjia.illinois.gov/ifvcc/news/free-interactive-webinar-talking-to-teens-about-digital-safety/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Building_Better_Connections_Webinar_FINAL_022124_537a8d4674.pdf
Illinois Family Violence Coordinating Council,post,greater-il-violence-prevention-coordinating-council-town-hall-kankakee-il,https://icjia.illinois.gov/ifvcc/news/greater-il-violence-prevention-coordinating-council-town-hall-kankakee-il/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/VPCC_Townhall_Meeting_Community_Day_Flyer_2_cef68ae8d4.pdf
Illinois Family Violence Coordinating Council,post,healing-partnership,https://icjia.illinois.gov/ifvcc/news/healing-partnership/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Flyer_Adult_Group_Counseling_Significant_Others_0424_Final_d036dbddd2.pdf
Illinois Family Violence Coordinating Council,post,human-trafficking-1,https://icjia.illinois.gov/ifvcc/news/human-trafficking-1/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/2276_001_5c59f71ae6.pdf
Illinois Family Violence Coordinating Council,post,identifying-abuse-for-persons-with-disabilities,https://icjia.illinois.gov/ifvcc/news/identifying-abuse-for-persons-with-disabilities/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Activating_APS_Awareness_professionals_2024_ed860ffcc9.pdf
Illinois Family Violence Coordinating Council,post,illinois-alliance-for-drug-endangered-children-conference,https://icjia.illinois.gov/ifvcc/news/illinois-alliance-for-drug-endangered-children-conference/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/2277_001_e6e5325d49.pdf
Illinois Family Violence Coordinating Council,post,juvenile-court-101-training,https://icjia.illinois.gov/ifvcc/news/juvenile-court-101-training/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Juvenile_Court_101_Training_Flyer_FINAL_c79806509b.pdf
Illinois Family Violence Coordinating Council,post,supporting-survivors-with-disabilities-kankakee-il,https://icjia.illinois.gov/ifvcc/news/supporting-survivors-with-disabilities-kankakee-il/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/0424_April_Professional_Conference_Flyer_6af9264c60.pdf
Illinois Family Violence Coordinating Council,post,upcoming-community-screening-and-panel-discussion-peoria-il,https://icjia.illinois.gov/ifvcc/news/upcoming-community-screening-and-panel-discussion-peoria-il/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Family_Violence_Council_Documentary_Event_PR_f0b7e821e7.pdf
Illinois Family Violence Coordinating Council,post,upcoming-in-person-training-romeoville-il-april-11-2024,https://icjia.illinois.gov/ifvcc/news/upcoming-in-person-training-romeoville-il-april-11-2024/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/4_11_24_NNEDV_Training_Flier_75782974e4.pdf
Illinois Family Violence Coordinating Council,post,upcoming-training-in-kankakee-il,https://icjia.illinois.gov/ifvcc/news/upcoming-training-in-kankakee-il/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Training_Institute_for_Strangulation_Prevention_Flyer_2024_d371319370.pdf
Illinois Family Violence Coordinating Council,post,upcoming-webinar-series,https://icjia.illinois.gov/ifvcc/news/upcoming-webinar-series/,404,2,https://ilfamilyviolence.icjia-api.cloud/uploads/Flyer_Human_Trafficking_Ostergaard_January2024_075ed26df9.pdf; https://ilfamilyviolence.icjia-api.cloud/uploads/Flyer_Teen_Dating_Mc_Murray_Speagle_February2024_865431e030.pdf
Illinois Family Violence Coordinating Council,post,upcoming-women-s-history-month-event-in-kankakee-il,https://icjia.illinois.gov/ifvcc/news/upcoming-women-s-history-month-event-in-kankakee-il/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/WHM_Their_Story_Event_with_PSLS_PDF_a88ff9a211.pdf
Illinois Family Violence Coordinating Council,post,virtual-domestic-violence-training-course-available,https://icjia.illinois.gov/ifvcc/news/virtual-domestic-violence-training-course-available/,404,1,https://ilfamilyviolence.icjia-api.cloud/uploads/Dynamics_of_DV_Training_Flyer_PDF_b8224fb54b.pdf
